CAT revision 69 GST ref 37

=== PRAETOR/CENTURION ARMOURY + WEAPONS ===
ENTRY hq-praetor | Legion Praetor
  GROUP hq-praetor-armour | Armour Replacement (counts toward 100 pt Armoury limit) | max=1 field=selections scope=parent
    LINK hq-praetor-art | Artificer Armour -> gear-hq-artificer | max=1 field=selections scope=parent
    LINK hq-praetor-term | Terminator Armour -> gear-hq-terminator | max=1 field=selections scope=parent
    LINK hq-praetor-tart | Tartaros Terminator Armour -> gear-hq-tartaros | max=1 field=selections scope=parent
    LINK hq-praetor-cat | Cataphractii Terminator Armour -> gear-hq-cataphractii | max=1 field=selections scope=parent
    LINK r45-praetor-um-mantle | Mantle of Ultramar -> r45-um-mantle | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-sal-mantle | Salamanders Mantle -> r46-sal-mantle | max=1 field=selections scope=parent
  GROUP hq-praetor-mob | Mobility (counts toward 100 pt Armoury limit) | max=1 field=selections scope=parent
    ENTRY r37-praetor-jetbike | Jetbike (Sky Hunter Phalanx) | cost=40 | max=1 field=selections scope=parent
    LINK hq-praetor-jump | Jump Pack -> gear-hq-jump | max=1 field=selections scope=parent
    LINK hq-praetor-bike | Space Marine Bike -> gear-hq-bike | max=1 field=selections scope=parent
    LINK r47-hq-praetor-ts-disc | Prosperine Æther-Disc -> r47-ts-prosperine-aether-disc | max=1 field=selections scope=parent
    LINK r47-hq-praetor-wb-favour-wings | Favour of the Pantheon — Daemonic Wings -> r47-wb-favour-wings | max=1 field=selections scope=parent
  GROUP hq-praetor-weapons | Weapon Replacements (max 100 Armoury pts; max 2 weapons) | max=2 field=selections scope=parent; max=100 field=pts scope=parent
    LINK r44-hq-praetor-r44-nl-chainglaive | Nostraman Chainglaive -> r44-nl-chainglaive | max=1 field=selections scope=parent
    LINK r44-hq-praetor-r44-ba-blade-perdition | Blade of Perdition -> r44-ba-blade-perdition | max=1 field=selections scope=parent
    LINK r45-hq-praetor-we-chain | Chainaxe -> r45-we-chainaxe | max=1 field=selections scope=parent
    LINK r45-hq-praetor-we-caedere | Caedere Weapon -> r45-we-caedere | max=1 field=selections scope=parent
    LINK r45-hq-praetor-um-axe | Legatine Axe -> r45-um-legatine-axe | max=1 field=selections scope=parent
    LINK r45-hq-praetor-dg-man | Manreaper -> r45-dg-manreaper | max=1 field=selections scope=parent
    LINK r45-hq-praetor-r45-ts-force-weapon | Prosperine Force Weapon upgrade -> r45-ts-force-weapon | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-soh-culling-blade | Cthonian Culling Blade -> r46-soh-culling-blade | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-soh-chainaxe | Chainaxe -> r46-soh-chainaxe | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-wb-accursed-crozius | Accursed Crozius -> r46-wb-accursed-crozius | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-wb-tainted-weapon | Tainted Weapon -> r46-wb-tainted-weapon | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-sal-mastercrafted | Master-crafted Weapon — Salamanders price -> r46-sal-mastercrafted | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-al-power-dagger | Power Dagger -> r46-al-power-dagger | max=1 field=selections scope=parent
  GROUP hq-praetor-single | Single-handed Weapons | max=2 field=selections scope=parent
    LINK hq-praetor-sw-0 | Chainaxe -> gear-hq-chainaxe | max=1 field=selections scope=parent
    LINK hq-praetor-sw-1 | Chainfist -> gear-chainfist | max=1 field=selections scope=parent
    LINK hq-praetor-sw-2 | Close Combat Weapon -> gear-hq-ccw | max=1 field=selections scope=parent
    LINK hq-praetor-sw-4 | Hand Flamer -> gear-hand-flamer | max=1 field=selections scope=parent
    LINK hq-praetor-sw-5 | Lightning Claw -> gear-lightning-claw | max=1 field=selections scope=parent
    LINK hq-praetor-sw-6 | Pair of Lightning Claws -> gear-pair-claws | max=1 field=selections scope=parent
    LINK hq-praetor-sw-7 | Plasma Pistol -> gear-plasma-pistol | max=1 field=selections scope=parent
    LINK hq-praetor-sw-8 | Power Fist -> gear-power-fist | max=1 field=selections scope=parent
    LINK hq-praetor-sw-9 | Power Weapon -> gear-power-weapon | max=1 field=selections scope=parent
    LINK hq-praetor-sw-10 | Relic Blade -> gear-hq-relic | max=1 field=selections scope=parent
    LINK hq-praetor-sw-11 | Rending Weapon -> gear-rending | max=1 field=selections scope=parent
    LINK hq-praetor-sw-12 | Thunder Hammer -> gear-thunder | max=1 field=selections scope=parent
    LINK hq-praetor-sw-13 | Volkite Serpenta -> gear-volkite-serpenta | max=1 field=selections scope=parent
    LINK da22-hq-praetor-warblade | Calibanite Warblade -> da22-warblade | max=1 field=selections scope=parent
    LINK da22-alt-pp-15 | Calibanite Plasma Pistol -> da22-plasma-pistol | max=1 field=selections scope=parent
  GROUP hq-praetor-two | Two-handed Weapons | max=1 field=selections scope=parent
    LINK hq-praetor-tw-0 | Bolter -> gear-bolter | max=1 field=selections scope=parent
    LINK hq-praetor-tw-1 | Combi-Bolter -> gear-combi-bolter | max=1 field=selections scope=parent
    LINK hq-praetor-tw-2 | Combi-Flamer -> gear-combi-flamer | max=1 field=selections scope=parent
    LINK hq-praetor-tw-3 | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK hq-praetor-tw-4 | Combi-Meltagun -> gear-combi-melta | max=1 field=selections scope=parent
    LINK hq-praetor-tw-5 | Combi-Plasma Gun -> gear-combi-plasma | max=1 field=selections scope=parent
    LINK hq-praetor-tw-6 | Combi-Volkite Charger -> gear-combi-volkite | max=1 field=selections scope=parent
    LINK hq-praetor-tw-7 | Foeblaster Boltgun -> gear-foeblaster | max=1 field=selections scope=parent
    LINK hq-praetor-tw-8 | Storm Bolter -> gear-storm-bolter | max=1 field=selections scope=parent
    LINK hq-praetor-tw-9 | Volkite Charger -> gear-volkite-charger | max=1 field=selections scope=parent
    LINK da22-hq-praetor-greatsword | Terranic Greatsword -> da22-greatsword | max=1 field=selections scope=parent
  GROUP hq-praetor-wargear | Additional Wargear (max 100 Armoury pts combined) | max=100 field=pts scope=parent
    LINK hq-praetor-wg-3 | Auspex -> gear-hq-auspex | max=1 field=selections scope=parent
    LINK hq-praetor-wg-4 | Bionics -> gear-hq-bionics | max=1 field=selections scope=parent
    LINK hq-praetor-wg-5 | Digital Weapons -> gear-hq-digital | max=1 field=selections scope=parent
    LINK hq-praetor-wg-6 | Master-crafted Weapon -> gear-hq-mastercraft | max=1 field=selections scope=parent
    LINK hq-praetor-wg-7 | Nuncio Vox -> gear-hq-nuncio | max=1 field=selections scope=parent
    LINK hq-praetor-wg-8 | Psychic Hood -> gear-hq-hood | max=1 field=selections scope=parent
    LINK hq-praetor-wg-9 | Purity Seals -> gear-hq-purity | max=1 field=selections scope=parent
    LINK hq-praetor-wg-10 | Signum -> gear-hq-signum | max=1 field=selections scope=parent
    LINK hq-praetor-wg-11 | Teleport Homer -> gear-hq-homer | max=1 field=selections scope=parent
    LINK hq-praetor-wg-12 | Terminator Honours -> gear-hq-honours | max=1 field=selections scope=parent
    LINK hq-praetor-wg-13 | Melta Bombs -> gear-hq-melta-bombs | max=1 field=selections scope=parent
    LINK r39-phosphex-hq-praetor-wargear | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r40-da-hq-praetor-transponders | Teleportation Transponders -> da22-transponders | max=1 field=selections scope=parent
    LINK r44-hq-praetor-r44-nl-trophies | Trophies of Judgement -> r44-nl-trophies | max=1 field=selections scope=parent
    LINK r44-hq-praetor-r44-nl-stealth-ic | Stealth Adept -> r44-nl-stealth-ic | max=1 field=selections scope=parent
    LINK r44-hq-praetor-r44-nl-transponder-character | Teleportation Transponders -> r44-nl-transponder-character | max=1 field=selections scope=parent
    LINK r44-hq-praetor-r44-ba-death-mask | Death Mask -> r44-ba-death-mask | max=1 field=selections scope=parent
    LINK r44-hq-praetor-r44-ba-inferno-pistol | Inferno Pistol -> r44-ba-inferno-pistol | max=1 field=selections scope=parent
    LINK r44-hq-praetor-r44-ih-servo-arm | Servo-Arm -> r44-ih-servo-arm | max=1 field=selections scope=parent
    LINK r44-hq-praetor-r44-ih-mechadendrites | Mechadendrites -> r44-ih-mechadendrites | max=1 field=selections scope=parent
    LINK r44-hq-praetor-r44-ih-gladius | Albian Power Gladius -> r44-ih-gladius | max=1 field=selections scope=parent
    LINK r44-hq-praetor-r44-ih-bionics-character | Bionics -> r44-ih-bionics-character | max=1 field=selections scope=parent
    LINK r45-hq-praetor-r45-ts-arcane-litanies | Arcane Litanies -> r45-ts-arcane-litanies | max=1 field=selections scope=parent
    LINK r45-hq-praetor-r45-ts-asphyx-ic | Asphyx Shells -> r45-ts-asphyx-ic | max=1 field=selections scope=parent
    LINK r45-hq-praetor-r45-ts-trans-ic | Teleportation Transponders -> r45-ts-trans-ic | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-soh-banestrike-character | Banestrike Ammunition -> r46-soh-banestrike-character | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-soh-transponder-character | Teleportation Transponders -> r46-soh-transponder-character | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-wb-burning-lore | Burning Lore -> r46-wb-burning-lore | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-sal-inferno-pistol | Inferno Pistol -> r46-sal-inferno-pistol | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-rg-talons-character | Upgrade Lightning Claws to Raven’s Talons -> r46-rg-talons-character | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-rg-hand-cannon | Fulcrum Hand Cannon -> r46-rg-hand-cannon | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-rg-infravisor | Infravisor -> r46-rg-infravisor | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-rg-shroud-character | Shroud Bombs -> r46-rg-shroud-character | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-rg-cameleoline | Cameleoline -> r46-rg-cameleoline | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-rg-trans-character | Teleportation Transponders -> r46-rg-trans-character | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-al-banestrike-character | Banestrike Ammunition -> r46-al-banestrike-character | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-al-venom-spheres | Venom Spheres -> r46-al-venom-spheres | max=1 field=selections scope=parent
    LINK r46-hq-praetor-r46-al-trans-character | Teleportation Transponders -> r46-al-trans-character | max=1 field=selections scope=parent
